Year   Moose  Wolves
 1959  750   20
 1960  855   24
 1961  841   24
 1962  840   36
 1963  884   39
 1964  855   43
 1965  870   44
 1966  853   45
 1967  770   43
 1968  722   37
 1969  644   35
 1970  554   32
 1971  523   30
 1972  464   28
 1973  439   21
 1974  426   18
 1975  398   15
 1976  412   10
 1977  422   10
 1978  464   10
 1979  551    9
 1980  598   10
 1981  685    7
 1982  783    7
 1983  897    7
 1984 1091    9
 1985 1246    9
 1986 1448    8
 1987 1712    7
 1988 2013    6
 1989 2448    5
 1990 2476    5
 1991 2330    4
 1992 2228    3
 1993 2134    3
 1994 2000    3
 1995 1830    3
 1996 1573    1
 1997 1309    0
 1998 1167    0
 1999 1219    0
 2000 1588    0
 2001 1927    0
 2002 2247    0
 2003 2209    0
 2004 2059    0
 2005 2009    0
 2006 2093    0
 2007 2008    0
 2008 1825    0
 2009 1932    0
 2010 2531    0
 2011 2436    0
 2012 2204    0
 2013 2121    0
 2014 2106    0
 2015 2096    0
 2016 2088    0
 2017 1805    0
 2018 1366    0
