Year   Moose  Wolves
 1959  657   20
 1960  684   21
 1961  658   25
 1962  706   27
 1963  688   28
 1964  651   36
 1965  638   33
 1966  587   31
 1967  570   28
 1968  523   26
 1969  508   25
 1970  535   27
 1971  538   26
 1972  534   26
 1973  534   26
 1974  536   24
 1975  509   23
 1976  536   20
 1977  617   20
 1978  616   19
 1979  601   18
 1980  585   20
 1981  638   17
 1982  630   17
 1983  639   13
 1984  740   13
 1985  790   11
 1986  874    7
 1987 1019   13
 1988 1101   11
 1989 1271   11
 1990 1455   11
 1991 1703   10
 1992 1993   10
 1993 2313    9
 1994 2263    8
 1995 2114    8
 1996 2008    8
 1997 1894    8
 1998 1764    5
 1999 1619    4
 2000 1403    6
 2001 1457    6
 2002 1852    6
 2003 2287    5
 2004 2163    5
 2005 1991    7
 2006 1918   10
 2007 1865   12
 2008 1846   11
 2009 1608   14
 2010 1569   15
 2011 1943   17
 2012 2328   22
 2013 2081   25
 2014 1827   29
 2015 1713   34
 2016 1579   35
 2017 1423   33
 2018 1351   28
