Year   Moose  Wolves
 1959  607   20
 1960  683   21
 1961  723   22
 1962  773   21
 1963  775   22
 1964  816   22
 1965  858   27
 1966  924   33
 1967 1012   33
 1968 1033   35
 1969 1052   40
 1970 1047   52
 1971  952   51
 1972  853   48
 1973  745   45
 1974  709   45
 1975  564   43
 1976  442   33
 1977  374   29
 1978  356   28
 1979  277   24
 1980  199   14
 1981  175    5
 1982  193    4
 1983  218    4
 1984  239    2
 1985  282    2
 1986  319    0
 1987  379    0
 1988  440    0
 1989  521    0
 1990  605    0
 1991  728    0
 1992  854    0
 1993 1018    0
 1994 1227    0
 1995 1455    0
 1996 1749    0
 1997 2060    0
 1998 2426    0
 1999 2406    0
 2000 2264    0
 2001 2169    0
 2002 2124    0
 2003 1983    0
 2004 1831    0
 2005 1651    0
 2006 1384    0
 2007 1259    0
 2008 1340    0
 2009 1772    0
 2010 2173    0
 2011 2098    0
 2012 1932    0
 2013 1836    0
 2014 1858    0
 2015 1898    0
 2016 2014    0
 2017 2682    0
 2018 2527    0
