Year   Moose  Wolves
 1959  581   20
 1960  634   19
 1961  670   18
 1962  726   18
 1963  728   22
 1964  746   23
 1965  782   22
 1966  893   19
 1967  986   18
 1968 1060   15
 1969 1183   12
 1970 1321    4
 1971 1566    4
 1972 1857    4
 1973 2198    3
 1974 2175    3
 1975 2027    3
 1976 1932    3
 1977 1880    3
 1978 1755    3
 1979 1625    3
 1980 1696    3
 1981 2235    4
 1982 2151    6
 1983 1919    8
 1984 1830   10
 1985 1801    8
 1986 1779    8
 1987 1730    7
 1988 1810    9
 1989 2324   13
 1990 2131   13
 1991 1876   12
 1992 1763   11
 1993 1688   10
 1994 1647   10
 1995 1571   12
 1996 1570   13
 1997 1943   13
 1998 2277   13
 1999 2101   11
 2000 1882   10
 2001 1815   12
 2002 1758   10
 2003 1711   10
 2004 1473    9
 2005 1498   10
 2006 1909    9
 2007 2308    7
 2008 2153    6
 2009 1955    5
 2010 1908    5
 2011 1903    4
 2012 1902    3
 2013 1670    6
 2014 1707    6
 2015 2137    6
 2016 1943    4
 2017 1733    3
 2018 1669    5
