Year   Moose  Wolves
 1959  682   20
 1960  752   23
 1961  723   23
 1962  703   27
 1963  664   30
 1964  635   32
 1965  617   29
 1966  611   29
 1967  582   28
 1968  586   29
 1969  587   28
 1970  528   30
 1971  455   30
 1972  387   26
 1973  335   22
 1974  309   19
 1975  250   17
 1976  264   16
 1977  260   15
 1978  244   11
 1979  267    7
 1980  288    6
 1981  321    4
 1982  363    4
 1983  430    3
 1984  491    3
 1985  565    3
 1986  681    3
 1987  803    3
 1988  930    2
 1989 1086    2
 1990 1304    2
 1991 1551    1
 1992 1860    1
 1993 2219    1
 1994 2272    1
 1995 2134    0
 1996 2069    0
 1997 2006    0
 1998 1897    0
 1999 1774    0
 2000 1583    0
 2001 1663    0
 2002 2192    0
 2003 2253    0
 2004 2033    0
 2005 1923    0
 2006 1885    0
 2007 1867    0
 2008 1859    0
 2009 1966    0
 2010 2555    0
 2011 2366    0
 2012 2135    0
 2013 2030    0
 2014 2039    0
 2015 2041    0
 2016 2032    0
 2017 1747    0
 2018 1827    0
