Year   Moose  Wolves
 1959  617   20
 1960  631   19
 1961  635   19
 1962  624   24
 1963  648   30
 1964  667   35
 1965  674   37
 1966  688   33
 1967  692   32
 1968  603   27
 1969  587   26
 1970  578   25
 1971  531   28
 1972  473   28
 1973  426   27
 1974  370   20
 1975  387   20
 1976  344   13
 1977  356   12
 1978  406   10
 1979  404   10
 1980  456    8
 1981  494    6
 1982  569    6
 1983  628    4
 1984  747    3
 1985  862    3
 1986 1026    3
 1987 1192    3
 1988 1411    2
 1989 1701    2
 1990 2021    2
 1991 2388    2
 1992 2398    2
 1993 2233    1
 1994 2130    0
 1995 2081    0
 1996 1959    0
 1997 1802    0
 1998 1568    0
 1999 1266    0
 2000 1322    0
 2001 1711    0
 2002 2129    0
 2003 1974    0
 2004 1789    0
 2005 1755    0
 2006 1769    0
 2007 1786    0
 2008 1862    0
 2009 2475    0
 2010 2332    0
 2011 2063    0
 2012 1985    0
 2013 1995    0
 2014 2003    0
 2015 2031    0
 2016 2180    0
 2017 1975    0
 2018 1757    0
