Year   Moose  Wolves
 1959  689   20
 1960  690   19
 1961  719   18
 1962  770   20
 1963  759   20
 1964  838   19
 1965  902   18
 1966  999   18
 1967 1106   18
 1968 1184   13
 1969 1334   10
 1970 1575    9
 1971 1803   11
 1972 2101   14
 1973 2066   14
 1974 1907   14
 1975 1789   14
 1976 1680   18
 1977 1486   20
 1978 1437   22
 1979 1726   23
 1980 1963   24
 1981 2218   31
 1982 2003   32
 1983 1757   37
 1984 1644   41
 1985 1481   44
 1986 1094   43
 1987  877   37
 1988  949   34
 1989  981   32
 1990 1025   29
 1991 1090   37
 1992 1155   32
 1993 1234   29
 1994 1344   23
 1995 1418   24
 1996 1558   21
 1997 1780   21
 1998 2079   19
 1999 2453   22
 2000 2383   28
 2001 2125   26
 2002 1959   19
 2003 1816   19
 2004 1603   22
 2005 1350   23
 2006 1093   27
 2007  913   27
 2008  995   27
 2009 1133   28
 2010 1221   32
 2011 1278   33
 2012 1350   31
 2013 1422   38
 2014 1466   42
 2015 1650   45
 2016 1655   48
 2017 1762   47
 2018 1852   48
