Year   Moose  Wolves
 1959  647   20
 1960  666   22
 1961  690   25
 1962  671   28
 1963  677   33
 1964  623   29
 1965  615   28
 1966  579   27
 1967  602   25
 1968  542   25
 1969  534   24
 1970  560   27
 1971  519   28
 1972  559   26
 1973  509   27
 1974  494   25
 1975  470   24
 1976  469   22
 1977  439   19
 1978  439   20
 1979  438   19
 1980  453   21
 1981  426   22
 1982  401   21
 1983  377   19
 1984  386   16
 1985  369   17
 1986  388   19
 1987  382   20
 1988  369   20
 1989  353   18
 1990  352   17
 1991  349   15
 1992  335   17
 1993  307   17
 1994  274   16
 1995  255   16
 1996  258   15
 1997  226   13
 1998  193   12
 1999  154   12
 2000  107    9
 2001   88    9
 2002   57    9
 2003   24    6
 2004   33    3
 2005   28    3
 2006   26    2
 2007   23    1
 2008   25    1
 2009   25    1
 2010   24    1
 2011   21    1
 2012   23    0
 2013   35    0
 2014   40    0
 2015   47    0
 2016   55    0
 2017   66    0
 2018   77    0
