Year   Moose  Wolves
 1959  620   20
 1960  634   36
 1961  660   37
 1962  602   39
 1963  586   41
 1964  498   40
 1965  412   38
 1966  396   34
 1967  319   30
 1968  218   29
 1969  154   24
 1970   79   21
 1971   41    9
 1972   48    6
 1973   35    3
 1974   31    1
 1975   34    1
 1976   32    1
 1977   37    0
 1978   39    0
 1979   50    0
 1980   60    0
 1981   68    0
 1982   80    0
 1983  107    0
 1984  124    0
 1985  143    0
 1986  175    0
 1987  214    0
 1988  256    0
 1989  315    0
 1990  396    0
 1991  455    0
 1992  542    0
 1993  648    0
 1994  778    0
 1995  948    0
 1996 1125    0
 1997 1372    0
 1998 1691    0
 1999 2027    0
 2000 2463    0
 2001 2610    0
 2002 2448    0
 2003 2374    0
 2004 2325    0
 2005 2230    0
 2006 2076    0
 2007 1880    0
 2008 1525    0
 2009 1388    0
 2010 1323    0
 2011 1405    0
 2012 1835    0
 2013 2295    0
 2014 2193    0
 2015 2007    0
 2016 1951    0
 2017 1964    0
 2018 2003    0
