Year   Moose  Wolves
 1959  727   20
 1960  805   23
 1961  811   31
 1962  855   36
 1963  818   43
 1964  771   45
 1965  734   42
 1966  659   40
 1967  632   37
 1968  541   35
 1969  540   30
 1970  486   29
 1971  464   26
 1972  426   22
 1973  432   21
 1974  429   12
 1975  458   10
 1976  520    7
 1977  606    5
 1978  710    5
 1979  842    5
 1980  991    4
 1981 1176    4
 1982 1433    4
 1983 1696    4
 1984 1994    4
 1985 2399    3
 1986 2462    5
 1987 2305    4
 1988 2216    4
 1989 2090    5
 1990 1916    5
 1991 1741    3
 1992 1475    4
 1993 1169    7
 1994 1225    8
 1995 1528    8
 1996 1848    8
 1997 2185    6
 1998 2096    5
 1999 1961    5
 2000 1915    5
 2001 1888    6
 2002 1759    6
 2003 1819    4
 2004 2313    2
 2005 2142    2
 2006 1895    5
 2007 1821    8
 2008 1752    7
 2009 1682    7
 2010 1673    9
 2011 1694    9
 2012 2124    8
 2013 1940   10
 2014 1713   11
 2015 1660   14
 2016 1593   18
 2017 1488   18
 2018 1502   21
