Year   Moose  Wolves
 1959  647   20
 1960  709   22
 1961  749   20
 1962  728   24
 1963  728   22
 1964  734   19
 1965  777   18
 1966  840   16
 1967  962   16
 1968 1026   13
 1969 1151   11
 1970 1334    9
 1971 1506   10
 1972 1703   10
 1973 1963    8
 1974 2341    7
 1975 2301    7
 1976 2116    7
 1977 1985   13
 1978 1862   13
 1979 1744   13
 1980 1518   12
 1981 1262   10
 1982 1276   15
 1983 1587   14
 1984 1873   13
 1985 2154   13
 1986 1958   12
 1987 1796   15
 1988 1729   15
 1989 1692   19
 1990 1437   20
 1991 1326   20
 1992 1597   21
 1993 1844   22
 1994 2114   19
 1995 1934   18
 1996 1725   20
 1997 1658   20
 1998 1669   18
 1999 1470   19
 2000 1455   19
 2001 1792   25
 2002 2049   26
 2003 2373   29
 2004 2143   31
 2005 1865   31
 2006 1787   30
 2007 1632   27
 2008 1329   25
 2009 1071   22
 2010  888   21
 2011  974   26
 2012 1076   29
 2013 1184   26
 2014 1298   26
 2015 1402   35
 2016 1532   33
 2017 1610   31
 2018 1710   39
