Year   Moose  Wolves
 1959  697   20
 1960  752   33
 1961  738   35
 1962  729   41
 1963  632   42
 1964  534   46
 1965  402   44
 1966  288   39
 1967  174   37
 1968   84   29
 1969  133   28
 1970   84   26
 1971   31   19
 1972   13   14
 1973   18    9
 1974   12    7
 1975   22    8
 1976    1    6
 1977    1    5
 1978    0    4
 1979    0    3
 1980    0    3
 1981    0    3
 1982    0    3
 1983    0    3
 1984    0    3
 1985    0    3
 1986    0    2
 1987    0    2
 1988    0    0
 1989    0    0
 1990    0    0
 1991    0    0
 1992    0    0
 1993    0    0
 1994    0    0
 1995    0    0
 1996    0    0
 1997    0    0
 1998    0    0
 1999    0    0
 2000    0    0
 2001    0    0
 2002    0    0
 2003    0    0
 2004    0    0
 2005    0    0
 2006    0    0
 2007    0    0
 2008    0    0
 2009    0    0
 2010    0    0
 2011    0    0
 2012    0    0
 2013    0    0
 2014    0    0
 2015    0    0
 2016    0    0
 2017    0    0
 2018    0    0
