Year   Moose  Wolves
 1959  742   20
 1960  802   22
 1961  776   27
 1962  758   30
 1963  736   31
 1964  761   35
 1965  698   34
 1966  681   35
 1967  608   34
 1968  549   30
 1969  488   26
 1970  417   21
 1971  400   18
 1972  392   17
 1973  414   15
 1974  449   13
 1975  470   11
 1976  510   11
 1977  561   10
 1978  617    7
 1979  703    7
 1980  817    7
 1981  938    7
 1982 1080    6
 1983 1249    6
 1984 1428    7
 1985 1678    9
 1986 1987   10
 1987 2372   13
 1988 2271   12
 1989 2061   11
 1990 1949   10
 1991 1836   10
 1992 1679   10
 1993 1461   12
 1994 1505   13
 1995 1912   11
 1996 2271   11
 1997 2092   10
 1998 1893    8
 1999 1808    5
 2000 1780    6
 2001 1726    7
 2002 1778   12
 2003 2256   13
 2004 2000   13
 2005 1704   12
 2006 1609   11
 2007 1581   11
 2008 1536   14
 2009 1533   13
 2010 1930   13
 2011 2297   17
 2012 2035   18
 2013 1844   12
 2014 1772   10
 2015 1797   12
 2016 1829   12
 2017 1844   11
 2018 2317   10
