Year   Moose  Wolves
 1959  578   20
 1960  587   22
 1961  575   25
 1962  544   29
 1963  504   28
 1964  470   28
 1965  474   25
 1966  499   24
 1967  444   24
 1968  431   20
 1969  456   17
 1970  439   15
 1971  439   19
 1972  463   15
 1973  498   10
 1974  571   15
 1975  590   14
 1976  664   19
 1977  699   22
 1978  747   25
 1979  767   24
 1980  870   20
 1981  965   19
 1982 1115   22
 1983 1308   20
 1984 1446   20
 1985 1667   23
 1986 1962   27
 1987 2223   34
 1988 2125   42
 1989 1803   45
 1990 1575   47
 1991 1320   48
 1992 1009   41
 1993  677   41
 1994  331   39
 1995  179   36
 1996   50   33
 1997    9   32
 1998   12   27
 1999    4   19
 2000    4   14
 2001    4   10
 2002    4    7
 2003    0    6
 2004    0    5
 2005    0    4
 2006    0    3
 2007    0    3
 2008    0    2
 2009    0    1
 2010    0    1
 2011    0    1
 2012    0    1
 2013    0    1
 2014    0    1
 2015    0    1
 2016    0    1
 2017    0    1
 2018    0    1
