Year   Moose  Wolves
 1959  640   20
 1960  650   19
 1961  631   19
 1962  593   18
 1963  580   22
 1964  576   25
 1965  581   27
 1966  558   20
 1967  558   17
 1968  577   17
 1969  635   13
 1970  723   13
 1971  816   16
 1972  907   16
 1973 1033   14
 1974 1118   12
 1975 1280   10
 1976 1493    6
 1977 1770    8
 1978 2064    7
 1979 2446    5
 1980 2473    4
 1981 2338    3
 1982 2259    2
 1983 2163    2
 1984 2031    2
 1985 1857    2
 1986 1655    2
 1987 1364    1
 1988 1200    1
 1989 1268    1
 1990 1665    1
 1991 2012    0
 1992 2355    0
 1993 2264    0
 1994 2101    0
 1995 2036    0
 1996 2074    0
 1997 1933    0
 1998 1756    0
 1999 1558    0
 2000 1666    0
 2001 2200    0
 2002 2182    0
 2003 1961    0
 2004 1866    0
 2005 1828    0
 2006 1826    0
 2007 1829    0
 2008 1954    0
 2009 2588    0
 2010 2417    0
 2011 2201    0
 2012 2096    0
 2013 2072    0
 2014 2030    0
 2015 2041    0
 2016 1766    0
 2017 1835    0
 2018 2370    0
