Year   Moose  Wolves
 1959  603   20
 1960  594   20
 1961  585   20
 1962  587   18
 1963  627   25
 1964  640   29
 1965  588   33
 1966  579   32
 1967  495   28
 1968  525   23
 1969  517   21
 1970  526   21
 1971  522   18
 1972  561   20
 1973  529   22
 1974  492   22
 1975  526   20
 1976  514   13
 1977  577   11
 1978  621    9
 1979  704   10
 1980  775   10
 1981  871    9
 1982 1022    6
 1983 1181    7
 1984 1413    5
 1985 1649    4
 1986 1943    7
 1987 2257    7
 1988 2239    6
 1989 2082    9
 1990 2001   14
 1991 1858   16
 1992 1705   15
 1993 1493   15
 1994 1514   13
 1995 1909   12
 1996 2248   15
 1997 2016   15
 1998 1805   14
 1999 1721   21
 2000 1648   18
 2001 1580   17
 2002 1524   17
 2003 1900   16
 2004 2271   15
 2005 2073   14
 2006 1872   16
 2007 1798   19
 2008 1763   24
 2009 1731   22
 2010 1659   16
 2011 2137   15
 2012 1883   19
 2013 1596   15
 2014 1493   15
 2015 1417   19
 2016 1299   18
 2017 1261   17
 2018 1609   16
