Year   Moose  Wolves
 1959  625   20
 1960  633   22
 1961  623   26
 1962  644   34
 1963  595   37
 1964  551   39
 1965  508   33
 1966  475   32
 1967  438   29
 1968  401   28
 1969  335   25
 1970  291   22
 1971  218   18
 1972  169   16
 1973  125   14
 1974   99    8
 1975   75    4
 1976   65    4
 1977   48    3
 1978   48    3
 1979   44    3
 1980   38    3
 1981   35    3
 1982   32    3
 1983   22    3
 1984   18    3
 1985   13    1
 1986    9    0
 1987   14    0
 1988   22    0
 1989   25    0
 1990   36    0
 1991   43    0
 1992   51    0
 1993   62    0
 1994   79    0
 1995   95    0
 1996  112    0
 1997  134    0
 1998  161    0
 1999  199    0
 2000  255    0
 2001  316    0
 2002  375    0
 2003  455    0
 2004  549    0
 2005  659    0
 2006  789    0
 2007  944    0
 2008 1133    0
 2009 1365    0
 2010 1651    0
 2011 1993    0
 2012 2394    0
 2013 2426    0
 2014 2292    0
 2015 2234    0
 2016 2164    0
 2017 2079    0
 2018 1928    0
