Year   Moose  Wolves
 1959  738   20
 1960  792   24
 1961  839   29
 1962  882   27
 1963  913   26
 1964  995   25
 1965 1029   26
 1966 1104   21
 1967 1209   28
 1968 1274   32
 1969 1345   31
 1970 1496   26
 1971 1683   24
 1972 1907   26
 1973 2119   27
 1974 1993   26
 1975 1811   23
 1976 1660   26
 1977 1475   26
 1978 1258   28
 1979 1118   25
 1980 1291   23
 1981 1498   25
 1982 1680   26
 1983 1914   29
 1984 2134   36
 1985 1960   35
 1986 1819   41
 1987 1575   40
 1988 1336   38
 1989 1020   35
 1990  748   29
 1991  870   27
 1992  844   22
 1993  940   21
 1994 1027   15
 1995 1112   13
 1996 1254   11
 1997 1414    8
 1998 1650    7
 1999 1887    6
 2000 2258    5
 2001 2277    5
 2002 2121    4
 2003 2045    3
 2004 1939    1
 2005 1836    1
 2006 1700    1
 2007 1482    0
 2008 1580    0
 2009 2044    0
 2010 2527    0
 2011 2342    0
 2012 2143    0
 2013 2099    0
 2014 2119    0
 2015 2133    0
 2016 1907    0
 2017 1597    0
 2018 1285    0
