Year   Moose  Wolves
 1959  611   20
 1960  656   31
 1961  687   28
 1962  698   28
 1963  721   34
 1964  812   38
 1965  867   42
 1966  945   48
 1967  867   49
 1968  955   45
 1969 1042   41
 1970 1101   43
 1971 1130   34
 1972 1280   32
 1973 1453   30
 1974 1663   28
 1975 1891   26
 1976 2171   22
 1977 2213   19
 1978 2022   18
 1979 1913   17
 1980 1794   17
 1981 1648   16
 1982 1520   21
 1983 1465   20
 1984 1809   20
 1985 2183   20
 1986 2093   21
 1987 1877   24
 1988 1763   22
 1989 1755   22
 1990 1717   19
 1991 1711   17
 1992 2187   16
 1993 1985   11
 1994 1755   10
 1995 1666   10
 1996 1652    8
 1997 1661    5
 1998 1784    3
 1999 2297    2
 2000 2210    1
 2001 1987    1
 2002 1899    1
 2003 1906    1
 2004 1920    1
 2005 1941    1
 2006 2081    0
 2007 2752    0
 2008 2658    0
 2009 2406    0
 2010 2301    0
 2011 2324    0
 2012 2344    0
 2013 2338    0
 2014 2097    0
 2015 1698    0
 2016 1497    0
 2017 1411    0
 2018 1315    0
