Year   Moose  Wolves
 1959  687   20
 1960  700   21
 1961  744   24
 1962  779   24
 1963  818   31
 1964  784   34
 1965  760   38
 1966  737   37
 1967  655   33
 1968  629   24
 1969  679   21
 1970  667   23
 1971  650   23
 1972  627   20
 1973  636   21
 1974  632   23
 1975  667   26
 1976  689   27
 1977  697   26
 1978  681   28
 1979  666   29
 1980  710   28
 1981  669   25
 1982  654   24
 1983  694   22
 1984  738   20
 1985  764   17
 1986  809   15
 1987  853   11
 1988  985   11
 1989 1122    9
 1990 1291   10
 1991 1442    7
 1992 1691    5
 1993 1995    9
 1994 2309    8
 1995 2307    8
 1996 2176    7
 1997 2072    6
 1998 1923    6
 1999 1829    6
 2000 1638    6
 2001 1404    5
 2002 1433    3
 2003 1844    2
 2004 2236    0
 2005 2125    0
 2006 1946    0
 2007 1893    0
 2008 1894    0
 2009 1913    0
 2010 1730    0
 2011 1831    0
 2012 2391    0
 2013 2311    0
 2014 2075    0
 2015 1979    0
 2016 1973    0
 2017 1995    0
 2018 1995    0
