Year   Moose  Wolves
 1959  632   20
 1960  685   21
 1961  742   24
 1962  771   27
 1963  783   39
 1964  790   41
 1965  707   40
 1966  714   40
 1967  587   40
 1968  498   37
 1969  495   32
 1970  512   30
 1971  466   27
 1972  416   24
 1973  392   26
 1974  303   23
 1975  246   17
 1976  197   16
 1977  177   14
 1978  138   12
 1979  104   11
 1980   70   10
 1981   50    8
 1982   32    6
 1983   38    5
 1984   27    4
 1985   22    3
 1986   12    2
 1987    7    2
 1988    5    0
 1989    6    0
 1990    6    0
 1991    5    0
 1992    5    0
 1993    8    0
 1994    8    0
 1995    8    0
 1996   13    0
 1997   13    0
 1998   17    0
 1999   22    0
 2000   24    0
 2001   31    0
 2002   42    0
 2003   49    0
 2004   64    0
 2005   83    0
 2006  104    0
 2007  133    0
 2008  158    0
 2009  188    0
 2010  233    0
 2011  283    0
 2012  333    0
 2013  409    0
 2014  499    0
 2015  590    0
 2016  715    0
 2017  888    0
 2018 1058    0
