Year   Moose  Wolves
 1959  645   20
 1960  695   25
 1961  703   24
 1962  668   23
 1963  680   29
 1964  634   27
 1965  659   26
 1966  636   30
 1967  575   27
 1968  582   27
 1969  627   27
 1970  626   28
 1971  630   30
 1972  671   29
 1973  646   29
 1974  665   30
 1975  645   29
 1976  625   29
 1977  614   30
 1978  679   30
 1979  632   31
 1980  676   30
 1981  728   34
 1982  673   32
 1983  646   29
 1984  655   26
 1985  716   25
 1986  713   22
 1987  735   21
 1988  760   18
 1989  822   18
 1990  925   18
 1991  989   20
 1992 1075   16
 1993 1220   15
 1994 1352   20
 1995 1551   27
 1996 1715   47
 1997 1877   53
 1998 2153   66
 1999 1965   76
 2000 1563   76
 2001 1364   76
 2002 1016   74
 2003  738   71
 2004  185   69
 2005  238   61
 2006  108   50
 2007   17   38
 2008    7   28
 2009    8   24
 2010    3   17
 2011    3   10
 2012    2    8
 2013    0    5
 2014    0    4
 2015    0    1
 2016    0    1
 2017    0    1
 2018    0    1
