Year   Moose  Wolves
 1959  659   20
 1960  762   20
 1961  869   20
 1962  934   20
 1963 1024   20
 1964 1170   22
 1965 1343   23
 1966 1513   20
 1967 1739   16
 1968 2022   17
 1969 2427   18
 1970 2432   15
 1971 2250   11
 1972 2171   16
 1973 2073   17
 1974 1984   24
 1975 1769   27
 1976 1486   30
 1977 1122   41
 1978 1057   45
 1979 1230   42
 1980 1326   41
 1981 1445   48
 1982 1568   51
 1983 1816   51
 1984 2090   57
 1985 2282   57
 1986 2105   66
 1987 1841   67
 1988 1614   60
 1989 1395   53
 1990 1028   50
 1991  723   50
 1992  397   42
 1993  215   40
 1994   84   37
 1995   14   33
 1996   17   26
 1997    5   18
 1998    6   10
 1999    4    9
 2000    4    5
 2001    0    4
 2002    0    3
 2003    0    2
 2004    0    1
 2005    0    1
 2006    0    1
 2007    0    0
 2008    0    0
 2009    0    0
 2010    0    0
 2011    0    0
 2012    0    0
 2013    0    0
 2014    0    0
 2015    0    0
 2016    0    0
 2017    0    0
 2018    0    0
