Year   Moose  Wolves
 1959  579   20
 1960  597   24
 1961  541   24
 1962  532   22
 1963  530   28
 1964  515   31
 1965  520   26
 1966  514   24
 1967  491   24
 1968  449   20
 1969  417   18
 1970  402   16
 1971  426   19
 1972  402   19
 1973  364   20
 1974  318   17
 1975  316   13
 1976  274   13
 1977  250   13
 1978  237   10
 1979  217    9
 1980  221   11
 1981  192   13
 1982  177   11
 1983  176    7
 1984  188    5
 1985  191    4
 1986  207    3
 1987  243    6
 1988  253    6
 1989  284    4
 1990  307    4
 1991  342    7
 1992  379    7
 1993  401    6
 1994  435    6
 1995  503    5
 1996  571    5
 1997  650    4
 1998  762    4
 1999  873    4
 2000 1009    3
 2001 1209    3
 2002 1449    2
 2003 1731    2
 2004 2084    2
 2005 2493    1
 2006 2528    1
 2007 2401    1
 2008 2297    1
 2009 2239    1
 2010 2092    0
 2011 1932    0
 2012 1740    0
 2013 1477    0
 2014 1338    0
 2015 1433    0
 2016 1882    0
 2017 2309    0
 2018 2224    0
