Year   Moose  Wolves
 1959  586   20
 1960  585   20
 1961  593   18
 1962  582   16
 1963  598   16
 1964  621   23
 1965  624   24
 1966  662   26
 1967  675   25
 1968  648   27
 1969  677   26
 1970  698   24
 1971  658   34
 1972  603   33
 1973  576   32
 1974  583   32
 1975  539   30
 1976  465   26
 1977  424   22
 1978  407   18
 1979  385   16
 1980  389   16
 1981  386   18
 1982  378   14
 1983  392   10
 1984  415   10
 1985  457   10
 1986  447    9
 1987  499    7
 1988  563    7
 1989  636   11
 1990  721   11
 1991  789   11
 1992  882   10
 1993 1002   15
 1994 1102   14
 1995 1231   14
 1996 1447   13
 1997 1694   13
 1998 1961   12
 1999 2317   11
 2000 2322   14
 2001 2124   13
 2002 2004   14
 2003 1875   12
 2004 1746   10
 2005 1572    4
 2006 1387    6
 2007 1424    6
 2008 1841    6
 2009 2280    8
 2010 2156    9
 2011 1979    7
 2012 1908    6
 2013 1894    6
 2014 1889    4
 2015 1709    4
 2016 1777    4
 2017 2254    8
 2018 2047    7
