Year   Moose  Wolves
 1959  655   20
 1960  691   19
 1961  766   18
 1962  826   19
 1963  864   25
 1964  924   24
 1965 1017   20
 1966 1113   18
 1967 1271   14
 1968 1516   13
 1969 1735   13
 1970 2035    9
 1971 2393    7
 1972 2365    9
 1973 2192    9
 1974 2072    8
 1975 1972    5
 1976 1854    5
 1977 1700    5
 1978 1478    5
 1979 1508    5
 1980 1908    5
 1981 2306    4
 1982 2141    3
 1983 1924    3
 1984 1830    1
 1985 1840    0
 1986 1861    0
 1987 1669    0
 1988 1769    0
 1989 2291    0
 1990 2162    0
 1991 1961    0
 1992 1869    0
 1993 1859    0
 1994 1868    0
 1995 1857    0
 1996 1969    0
 1997 2590    0
 1998 2503    0
 1999 2248    0
 2000 2146    0
 2001 2135    0
 2002 2164    0
 2003 2167    0
 2004 1902    0
 2005 1473    0
 2006 1334    0
 2007 1286    0
 2008 1182    0
 2009 1240    0
 2010 1620    0
 2011 2042    0
 2012 2410    0
 2013 2366    0
 2014 2222    0
 2015 2192    0
 2016 2250    0
 2017 2135    0
 2018 1906    0
