Year   Moose  Wolves
 1959  641   20
 1960  671   24
 1961  657   28
 1962  619   31
 1963  598   35
 1964  535   34
 1965  528   31
 1966  520   30
 1967  474   27
 1968  416   27
 1969  357   25
 1970  306   19
 1971  286   17
 1972  226   11
 1973  195    8
 1974  189    8
 1975  204    6
 1976  209    5
 1977  244    5
 1978  284    5
 1979  315    5
 1980  341    5
 1981  374    4
 1982  418    4
 1983  495    2
 1984  579    3
 1985  672    2
 1986  811    1
 1987  979    1
 1988 1169    0
 1989 1395    0
 1990 1670    0
 1991 2029    0
 1992 2425    0
 1993 2472    0
 1994 2328    0
 1995 2209    0
 1996 2192    0
 1997 2125    0
 1998 1959    0
 1999 1750    0
 2000 1435    0
 2001 1311    0
 2002 1259    0
 2003 1342    0
 2004 1776    0
 2005 2217    0
 2006 2130    0
 2007 1968    0
 2008 1931    0
 2009 1942    0
 2010 1922    0
 2011 1763    0
 2012 1877    0
 2013 2420    0
 2014 2266    0
 2015 2031    0
 2016 1895    0
 2017 1867    0
 2018 1865    0
