Year   Moose  Wolves
 1959  699   20
 1960  747   20
 1961  775   20
 1962  822   20
 1963  857   24
 1964  851   27
 1965  869   25
 1966  914   23
 1967  993   20
 1968 1074   21
 1969 1180   18
 1970 1319   17
 1971 1499   17
 1972 1734   18
 1973 1984   19
 1974 2294   20
 1975 2162   23
 1976 1912   25
 1977 1759   28
 1978 1537   28
 1979 1285   27
 1980  996   26
 1981  856   22
 1982  874   24
 1983  934   33
 1984  953   35
 1985 1056   48
 1986  997   49
 1987 1014   47
 1988 1000   42
 1989  904   39
 1990  880   38
 1991  808   38
 1992  769   39
 1993  687   36
 1994  650   31
 1995  614   26
 1996  572   22
 1997  556   17
 1998  601   16
 1999  581   14
 2000  614   12
 2001  702   11
 2002  733   11
 2003  819   10
 2004  922   10
 2005 1043    9
 2006 1173    7
 2007 1361    6
 2008 1591    8
 2009 1839    7
 2010 2247    6
 2011 2218    6
 2012 2071    6
 2013 1983    8
 2014 1846    8
 2015 1714    6
 2016 1539    8
 2017 1551    7
 2018 1970    7
