Year   Moose  Wolves
 1959  597   20
 1960  658   20
 1961  712   20
 1962  707   20
 1963  743   20
 1964  807   18
 1965  875   15
 1966  961   12
 1967 1106   11
 1968 1265    9
 1969 1469    3
 1970 1748    3
 1971 2058    3
 1972 2422    2
 1973 2408    1
 1974 2265    1
 1975 2181    1
 1976 2110    1
 1977 1964    1
 1978 1782    1
 1979 1606    0
 1980 1310    0
 1981 1178    0
 1982 1251    0
 1983 1674    0
 1984 2120    0
 1985 2041    0
 1986 1898    0
 1987 1834    0
 1988 1842    0
 1989 1881    0
 1990 2006    0
 1991 2624    0
 1992 2355    0
 1993 2078    0
 1994 2035    0
 1995 2041    0
 1996 2036    0
 1997 2052    0
 1998 2144    0
 1999 1964    0
 2000 1755    0
 2001 1651    0
 2002 1601    0
 2003 1561    0
 2004 1650    0
 2005 2127    0
 2006 1956    0
 2007 1748    0
 2008 1686    0
 2009 1735    0
 2010 1748    0
 2011 1842    0
 2012 2429    0
 2013 2234    0
 2014 2043    0
 2015 1965    0
 2016 1937    0
 2017 1914    0
 2018 1962    0
