Year   Moose  Wolves
 1959  667   20
 1960  730   20
 1961  785   19
 1962  856   20
 1963  913   27
 1964  949   27
 1965  999   24
 1966 1127   22
 1967 1232   19
 1968 1407   21
 1969 1620   19
 1970 1874   17
 1971 2101   17
 1972 2074   17
 1973 1914   16
 1974 1779   14
 1975 1593   18
 1976 1385   16
 1977 1309   17
 1978 1565   16
 1979 1858   16
 1980 2116   18
 1981 1924   19
 1982 1695   19
 1983 1620   15
 1984 1589   14
 1985 1413   16
 1986 1370   18
 1987 1684   27
 1988 1922   35
 1989 2119   33
 1990 1937   33
 1991 1699   32
 1992 1623   34
 1993 1503   32
 1994 1177   29
 1995  942   28
 1996 1105   24
 1997 1265   25
 1998 1436   22
 1999 1592   21
 2000 1812   19
 2001 1989   18
 2002 2254   16
 2003 2194   22
 2004 1962   28
 2005 1746   28
 2006 1573   24
 2007 1374   25
 2008 1172   24
 2009 1130   20
 2010 1337   19
 2011 1565   19
 2012 1705   18
 2013 1974   22
 2014 2205   16
 2015 2155   13
 2016 1993   14
 2017 1825   14
 2018 1632   12
