Year   Moose  Wolves
 1959  680   20
 1960  694   22
 1961  668   30
 1962  619   32
 1963  562   30
 1964  509   27
 1965  499   23
 1966  493   19
 1967  519   19
 1968  497   24
 1969  460   21
 1970  420   18
 1971  440   15
 1972  457   11
 1973  454   10
 1974  506   10
 1975  560    8
 1976  606    9
 1977  696    9
 1978  796    7
 1979  859    5
 1980  991    4
 1981 1151    2
 1982 1383    1
 1983 1671    1
 1984 1985    1
 1985 2361    1
 1986 2416    1
 1987 2284    1
 1988 2192    1
 1989 2111    1
 1990 2011    0
 1991 1864    0
 1992 1673    0
 1993 1437    0
 1994 1266    0
 1995 1342    0
 1996 1798    0
 1997 2207    0
 1998 2086    0
 1999 1928    0
 2000 1848    0
 2001 1849    0
 2002 1907    0
 2003 2023    0
 2004 2650    0
 2005 2461    0
 2006 2210    0
 2007 2156    0
 2008 2123    0
 2009 2127    0
 2010 2123    0
 2011 1844    0
 2012 1442    0
 2013 1305    0
 2014 1206    0
 2015 1123    0
 2016 1177    0
 2017 1539    0
 2018 1901    0
