Year   Moose  Wolves
 1959  622   20
 1960  611   20
 1961  622   20
 1962  655   21
 1963  710   20
 1964  761   20
 1965  794   18
 1966  885   26
 1967  986   23
 1968 1056   21
 1969 1127   22
 1970 1228   20
 1971 1416   24
 1972 1542   24
 1973 1702   28
 1974 1951   33
 1975 2159   37
 1976 2040   40
 1977 1821   37
 1978 1671   40
 1979 1432   41
 1980 1114   38
 1981  824   33
 1982  858   30
 1983  826   28
 1984  909   30
 1985  983   26
 1986 1020   22
 1987 1069   25
 1988 1187   19
 1989 1377   20
 1990 1472   17
 1991 1700   17
 1992 1984   21
 1993 2292   25
 1994 2218   29
 1995 1956   37
 1996 1794   37
 1997 1574   34
 1998 1376   31
 1999 1096   27
 2000 1008   21
 2001 1262   21
 2002 1383   20
 2003 1553   19
 2004 1724   17
 2005 1898   14
 2006 2123   11
 2007 2137   10
 2008 1958    5
 2009 1771    5
 2010 1656    5
 2011 1501    6
 2012 1338    5
 2013 1390    4
 2014 1820    7
 2015 2198    6
 2016 1982    6
 2017 1783    6
 2018 1738    8
