Year   Moose  Wolves
 1959  700   20
 1960  789   25
 1961  782   26
 1962  774   26
 1963  805   26
 1964  884   23
 1965  894   25
 1966  890   23
 1967  901   18
 1968  992   15
 1969 1118   14
 1970 1293   13
 1971 1429   11
 1972 1616    9
 1973 1847    9
 1974 2248    5
 1975 2238    5
 1976 2062    5
 1977 1964    5
 1978 1922    5
 1979 1801    5
 1980 1640    2
 1981 1705    1
 1982 2220    1
 1983 2130    1
 1984 1909    0
 1985 1814    0
 1986 1810    0
 1987 1845    0
 1988 1848    0
 1989 1923    0
 1990 2564    0
 1991 2413    0
 1992 2194    0
 1993 2138    0
 1994 2119    0
 1995 2174    0
 1996 2215    0
 1997 1894    0
 1998 1488    0
 1999 1355    0
 2000 1258    0
 2001 1174    0
 2002 1224    0
 2003 1553    0
 2004 1942    0
 2005 2283    0
 2006 2248    0
 2007 2089    0
 2008 2061    0
 2009 2125    0
 2010 1987    0
 2011 1817    0
 2012 1594    0
 2013 1294    0
 2014 1195    0
 2015 1259    0
 2016 1647    0
 2017 2057    0
 2018 2409    0
