Year   Moose  Wolves
 1959  670   20
 1960  747   29
 1961  731   34
 1962  689   35
 1963  667   34
 1964  587   31
 1965  597   33
 1966  566   30
 1967  483   25
 1968  426   22
 1969  431   22
 1970  380   17
 1971  366   13
 1972  357   11
 1973  375    9
 1974  420    9
 1975  456    8
 1976  494   10
 1977  535    9
 1978  557   11
 1979  611   11
 1980  696   10
 1981  721   12
 1982  839   13
 1983  937   12
 1984 1013   11
 1985 1123   11
 1986 1273   17
 1987 1443   17
 1988 1638   27
 1989 1855   29
 1990 2044   31
 1991 2329   27
 1992 2281   25
 1993 1998   31
 1994 1814   36
 1995 1526   37
 1996 1319   37
 1997 1047   34
 1998  866   31
 1999  889   26
 2000  887   23
 2001  988   15
 2002 1091   19
 2003 1181   20
 2004 1318   23
 2005 1413   27
 2006 1537   29
 2007 1619   30
 2008 1708   40
 2009 1859   45
 2010 2025   49
 2011 2231   49
 2012 2083   49
 2013 1753   47
 2014 1576   45
 2015 1265   45
 2016 1009   39
 2017  751   36
 2018  719   34
