Year   Moose  Wolves
 1959  650   20
 1960  638   19
 1961  620   20
 1962  637   20
 1963  647   19
 1964  671   21
 1965  708   20
 1966  773   18
 1967  806   25
 1968  833   22
 1969  834   18
 1970  886   19
 1971  953   20
 1972 1069   23
 1973 1214   21
 1974 1387   19
 1975 1574   22
 1976 1806   20
 1977 2069   22
 1978 2409   23
 1979 2408   27
 1980 2128   29
 1981 1921   30
 1982 1763   27
 1983 1538   30
 1984 1240   27
 1985  903   23
 1986  755   23
 1987  916   27
 1988  950   28
 1989  956   27
 1990  975   30
 1991  983   38
 1992  976   40
 1993 1031   43
 1994  908   37
 1995  945   38
 1996  973   47
 1997 1000   47
 1998  908   45
 1999  898   44
 2000  851   45
 2001  878   39
 2002  780   34
 2003  826   34
 2004  811   35
 2005  836   31
 2006  856   27
 2007  848   26
 2008  905   22
 2009  978   29
 2010 1078   28
 2011 1135   36
 2012 1217   38
 2013 1264   37
 2014 1359   39
 2015 1399   39
 2016 1494   41
 2017 1530   49
 2018 1571   47
