Year   Moose  Wolves
 1959  667   20
 1960  697   19
 1961  706   24
 1962  747   28
 1963  822   31
 1964  795   33
 1965  757   29
 1966  745   35
 1967  712   33
 1968  749   32
 1969  711   38
 1970  661   39
 1971  593   39
 1972  560   33
 1973  542   29
 1974  538   27
 1975  472   23
 1976  491   21
 1977  450   21
 1978  472   17
 1979  475   21
 1980  496   21
 1981  535   24
 1982  485   24
 1983  505   27
 1984  469   26
 1985  458   25
 1986  382   24
 1987  387   21
 1988  381   20
 1989  345   18
 1990  330   15
 1991  327   13
 1992  353   12
 1993  360    9
 1994  391    4
 1995  464    3
 1996  542    2
 1997  638    5
 1998  707    5
 1999  829    5
 2000  951    5
 2001 1100    5
 2002 1291    5
 2003 1527    9
 2004 1750    7
 2005 2079    7
 2006 2461    9
 2007 2433    9
 2008 2231    8
 2009 2122   11
 2010 1975   12
 2011 1756   12
 2012 1561   16
 2013 1311   15
 2014  990   12
 2015  996   13
 2016 1216   14
 2017 1432   15
 2018 1607   20
