Year   Moose  Wolves
 1959  511   20
 1960  527   26
 1961  464   34
 1962  439   34
 1963  387   33
 1964  381   30
 1965  338   28
 1966  290   25
 1967  203   23
 1968  171   19
 1969  132   13
 1970   94   10
 1971   50    7
 1972   24    5
 1973   13    1
 1974   12    1
 1975    6    1
 1976    3    1
 1977    2    1
 1978    1    0
 1979    1    0
 1980    1    0
 1981    1    0
 1982    1    0
 1983    1    0
 1984    1    0
 1985    1    0
 1986    1    0
 1987    1    0
 1988    1    0
 1989    1    0
 1990    1    0
 1991    1    0
 1992    1    0
 1993    1    0
 1994    1    0
 1995    1    0
 1996    1    0
 1997    1    0
 1998    1    0
 1999    1    0
 2000    1    0
 2001    1    0
 2002    1    0
 2003    1    0
 2004    1    0
 2005    1    0
 2006    1    0
 2007    1    0
 2008    0    0
 2009    0    0
 2010    0    0
 2011    0    0
 2012    0    0
 2013    0    0
 2014    0    0
 2015    0    0
 2016    0    0
 2017    0    0
 2018    0    0
