Year   Moose  Wolves
 1959  710   20
 1960  706   24
 1961  690   30
 1962  656   35
 1963  671   35
 1964  658   39
 1965  640   38
 1966  556   30
 1967  519   26
 1968  494   23
 1969  466   21
 1970  455   23
 1971  425   17
 1972  406   15
 1973  428    9
 1974  449    8
 1975  471    7
 1976  515    6
 1977  574    6
 1978  650    5
 1979  750    4
 1980  884    3
 1981 1008    2
 1982 1213    1
 1983 1466    1
 1984 1754    0
 1985 2082    0
 1986 2498    0
 1987 2521    0
 1988 2367    0
 1989 2270    0
 1990 2176    0
 1991 2038    0
 1992 1874    0
 1993 1645    0
 1994 1355    0
 1995 1190    0
 1996 1264    0
 1997 1669    0
 1998 2012    0
 1999 2349    0
 2000 2278    0
 2001 2101    0
 2002 2081    0
 2003 2142    0
 2004 1985    0
 2005 1822    0
 2006 1632    0
 2007 1378    0
 2008 1236    0
 2009 1310    0
 2010 1727    0
 2011 2070    0
 2012 2415    0
 2013 2365    0
 2014 2214    0
 2015 2171    0
 2016 2236    0
 2017 2077    0
 2018 1900    0
