Year   Moose  Wolves
 1959  653   20
 1960  741   23
 1961  763   30
 1962  722   31
 1963  694   30
 1964  699   31
 1965  677   31
 1966  661   31
 1967  638   27
 1968  624   25
 1969  626   25
 1970  674   31
 1971  708   35
 1972  673   33
 1973  611   27
 1974  580   25
 1975  628   24
 1976  603   26
 1977  618   25
 1978  674   24
 1979  701   20
 1980  779   19
 1981  856   16
 1982  934   12
 1983 1081   13
 1984 1281   12
 1985 1493   10
 1986 1780    8
 1987 2079    5
 1988 2476    5
 1989 2494    8
 1990 2321    8
 1991 2211    8
 1992 2097    7
 1993 1931    8
 1994 1749    6
 1995 1507    5
 1996 1201    9
 1997 1240    9
 1998 1561    8
 1999 1858    8
 2000 2118   10
 2001 2002   15
 2002 1806   15
 2003 1769   16
 2004 1750   22
 2005 1495   25
 2006 1449   29
 2007 1604   33
 2008 1856   40
 2009 2141   39
 2010 1876   39
 2011 1641   44
 2012 1524   41
 2013 1371   40
 2014 1120   37
 2015  995   35
 2016  951   32
 2017 1043   28
 2018 1100   21
