Year   Moose  Wolves
 1959  733   20
 1960  787   21
 1961  842   28
 1962  824   27
 1963  812   26
 1964  825   25
 1965  834   23
 1966  921   25
 1967  894   25
 1968  895   23
 1969  922   20
 1970  975   14
 1971 1057   12
 1972 1237   13
 1973 1405   11
 1974 1588    9
 1975 1851    9
 1976 2134    8
 1977 2167    7
 1978 2009    6
 1979 1890    5
 1980 1812    4
 1981 1704    4
 1982 1543    3
 1983 1620    3
 1984 2129    2
 1985 2095    1
 1986 1895    1
 1987 1778    1
 1988 1751    1
 1989 1744    0
 1990 1870    0
 1991 2429    0
 1992 2222    0
 1993 1958    0
 1994 1877    0
 1995 1889    0
 1996 1893    0
 1997 1892    0
 1998 2030    0
 1999 2663    0
 2000 2507    0
 2001 2298    0
 2002 2227    0
 2003 2242    0
 2004 2228    0
 2005 2234    0
 2006 1909    0
 2007 1519    0
 2008 1351    0
 2009 1265    0
 2010 1136    0
 2011 1226    0
 2012 1596    0
 2013 1929    0
 2014 2269    0
 2015 2210    0
 2016 2099    0
 2017 2052    0
 2018 2082    0
